,date,rate,comment,result
3959,2024-04-03,5.0,頑張ってはくれようとするが、結果は伴わず最終提示の額も条件ありでした。期待するが残念な結果です。,0
3931,2024-04-03,5.0,誠実な対応と過不足ない説明で不安なく売却出来ました。,1
3930,2024-04-03,4.3,丁寧な対応で良かったが、買取価格は、ここで乗換えれば更に高くなるという条件付きだったのが残念だった。,0
3929,2024-04-03,4.8,最終的に決まらなかったものの、最後まで査定価格を上司に掛け合ってくれるなど熱意がよかった。,0
3928,2024-04-03,5.0,丁寧な対応で、こちらのワガママも聞いて頂いたうえに、価格も頑張ってくれて非常に良かった。,1
3927,2024-04-03,5.0,ビックモーター白浜店の梶原さんに査定して頂き、かなり頑張って下さいました。あと、欲しい車と下取り額がマッチした為、即売却決めました。,1
3926,2024-04-03,5.0,ネクステージ姫路店　廣瀬さんに査定して頂きました。欲しい車があったのですが、タイミング合わず見送り。査定士さんは感じの良い方でした。,0
3925,2024-04-03,5.0,買取価格が一番高かったので買取していただきました。買取の手続きも丁寧に教えていただきスムーズに手続き出来ました。,1
3924,2024-04-03,5.0,丁寧に対応していただき店舗の雰囲気も良かったです。,0
3923,2024-04-03,5.0,神奈川まで来て貰え、納税負担ではあったが手元に納得いく金額を残して貰えた。営業の方が雨で寒い中納得いくまで話してくれ、とても満足しています。,1
3922,2024-04-03,4.0,査定金額は満足出来たのでこちらの会社に決定しました。金額には満足しています。しかし、担当者さんからの連絡が不十分だと感じましたので、その点を改善されると良いと思います。契約書を送り、引き渡し日を決定して以降、担当者さんから何の連絡も無かったので、陸送業者に車両を引き渡してから入金されるまで不安になりました。,1
3921,2024-04-03,2.3,対応は良かったですが、値段はそこそこですかね,0
3920,2024-04-03,4.0,対応も良かったし最後まで値段交渉してくれたこの度は大切なお車を任せて頂き誠にありがとうございました。引き続き、安心してご利用頂ける会社を目指し精進して参ります。またのご利用を心よりお待ちしております。,1
3919,2024-04-03,5.0,いらしていただいた方がとても丁寧で安心して売却出来ました。乗り換え後の車が今年車検なので、その時もお安くしていただけたら嬉しいです！サリー様口コミの投稿ありがとうございます。この度は当社を選んで頂きありがとうございます。状態も良く走行距離も少ないこともありましたので、頑張らせて頂きました。車検・整備もぜひご相談頂ければ幸いです。よろしくお願いいたします。,1
3918,2024-04-03,3.8,丁寧に説明いただきました。　対応ありがとうございました。,1
3917,2024-04-03,5.0,価格交渉にも応じていただき、丁寧に対応してもらいました。hiromi様口コミ有難う御座います。おクルマのことでしたら何でも対応可能ですのでお気軽に相談してください。今後とも。我々OAUをご愛顧お願い致します。　　　　　　　　　　　　　　　　　　　代表取締役　杉岡　潤,1
3916,2024-04-03,4.3,希望との値段が合わず売却には至りませんでしたが、対応は良かったと思います。,0
3915,2024-04-03,2.3,セカンドモーターさんは3社の中で一番早く連絡してきて、車を査定してもらったのですが、担当者に2社目が今から来ると伝えたら、かなり高い金額を提示してきて、早く売るよう促してきた。私は3社の金額を全部聞いてから決めたいと伝えたら、面倒くさいんで、一旦引くと言われた。その後3社の金額を全部聞いたらやはりセカンドモーターさんが一番高かったので、電話して聞いてみたらその金額では買取できないと言われた。手のひら返しとはこういうことなんだなと思いました。もう二度とここを利用しません。,0
3914,2024-04-03,5.0,夜遅くまで付き合っていただいてありがとうございました。ディーラーより高い金額でとても満足しています。次もここを利用したいと思います。この度はご利用いただきありがとうございました。また口コミの投稿、高評価ありがとうございます。またのご利用よろしくお願いします。,1
