,date,title,rate,compare,comment
3370,2020-01-07,対応が早かった,5.0,1,料金が自分の納得した範囲だったので。良かった点、引越し先の部屋の状況など話を聞いてくれてアドバイスもらえた
5965,2020-08-05,早く連絡を頂いて、対応が早くて金額にも満足でした。,4.75,1,悪いところはないです。丁寧な、説明をしていただき暑いなか、ありがとうございました。金額も想定していただいた金額になったので、大満足です。
5759,2020-08-09,社内の連絡不足、そして約束を守っていただけない。,2.25,1,【見積もり時の対応】大変人当たりの良い方が対応して下さった。しかしお約束していた時間の5分前に電話がかかってきて1時間遅れますと言われ急遽時間をずらすことになった。せめてもう少し早く連絡をしてほしかった。【料金】可もなく不可もなく。【作業内容】荷物の引き取りにきてくださった方は大変テキパキと作業してくださり、こちらの質問等にも色々答えてくださった。しかし先方理由でお約束の時間から2回ぐらい時間変更があったり、そのせいでマンション側との約束の時間が変わってしまったせいで、作業員の方が到着してからも作業開始までに30分以上かかった。また、ダンボールの底が抜けてしまっていたにも関わらず(自分で荷造りした際に使用したものと違う色のテープで底が止まれていたことと、そのダンボールの中身が別の段ボールに移されていたことから判明)一言もその説明がなかった。洗濯機の搬入もお願いしていたため、サカイ経由で業者の方を手配して頂いたのですが、上記の時間がずれた件など業者の方に連絡が行っておらず、度々私の方に連絡が来た。【全体的な評価】今回は引越し先の指定業者だったため使用したが、全体的に社内での伝達不足や時間のルーズさが多々見受けられ、あまり持ちよく引越し出来なかった。次回は使用することはないと思う。【良かった点】直接対面で対応してくださった方は皆さんとても感じの良い方々だった。荷物の持ち運び等はテキパキとやってくださっており安心できた。【気になった点】マンションの指定業者だったため、指定されていたように法人窓口に引越し依頼をしたのですが、お見積もりは通常の地域の営業の方がしてくださっており、その内容が法人窓口と地方の営業間で情報伝達が全くできておりませんでした。引越し内容に関して法人窓口の方に連絡しても内容を把握していなかったり、確認します、社内で調整して改めて連絡しますと言われたのにいつまで経っても連絡が来ず、もう一度こちらから連絡したら先日と同様確認して連絡しますと言われ、待っていたものの結局連絡は来ませんでした。(その後見積もりをお願いした営業の方に連絡したら別の引越し業者に決められたと聞いてると、言われ予約が入ってないことにされていました。)正直、約束の時間を守ること、社内での情報伝達や確認後の折り返しの連絡をすることはサービスの最低条件だと思いますので、全体的に見て会社としての信用度はかなり低いです。
4645,2020-09-10,丁寧でまた利用したいと思った,5.0,1,【見積もり時の対応】実際に訪問で荷物の大きさや数を確認してもらったので、引っ越し当日に見積りと金額が違ったり、スタッフさんが困ることがなくてよかった。訪問してもらったことで、ここで決めなくてはいけない…という気持ちになって決めた部分はあったが、結果的にはよかった。【料金】引っ越しの経験がなかったため想定よりは高くなってしまったが、各荷物ごとやサービスにかかる料金を説明してもらえたので適正な料金として納得できた。【作業内容】荷運び自体も、転居先の壁床の傷予防への配慮もとても丁寧で安心して任せることができた。【全体的な評価】とても対応がよく、また利用したいと思った。【良かった点】訪問見積もり、荷運び作業、各スタッフの人柄【気になった点】見積りで決めてしまわないといけない雰囲気は気になった
5920,2020-09-18,安心してお願いできました。,5.0,1,引っ越しスタッフのテキパキとした指示やチームワークの働き様子に安心感があり疲労した様子も見せない仕事ぶりに感動しました。m(__)m
5969,2020-09-20,作業員さんはとても良かったです,4.0,1,見積り時、今契約しないと値引き料金で契約出来ないと言われ、相見積ならまだしも旦那と相談する機会すら与えてもらえなかった。とりあえずはいって言わないと帰りそうもなかったのでOK出したら、契約成立のプレゼントを先渡しされ、帰る時にダンボールやガムテープを置いて行かれたので断る事も出来なかった。勝手に契約した事を怒られた挙句、引っ越し費用の捻出のために自分の車を売りました。業者上位なのは、他社との選択肢を与えずにゴリ押しで契約を決めてただけなんじゃ…？と思いました。
5911,2020-09-23,プロフェショナル,5.0,1,電話対応が丁寧なのと一生懸命仕事していてとても良かったです。悪かった店は、転居先で引っ越しスタッフが1人で作業して他のスタッフがいなくて、同情してしまった事
5922,2020-10-01,以前から利用しており信頼と安全は万全！,5.0,1,以前から引越しするときは利用しておりますが、見積り段階から信頼性と安全性は間違い無い！と、いつも思っております。引越し日まで期間が短く、急な引越しでしたので引越し当日も荷造りが間に合っておらず急遽、無理なお願いで荷造りも手伝いを頼んだにも関わらずイヤな顔を１つせず作業してくださいました。担当リーダーの方は、別な引越しも重なって多忙な中にも関わらず荷物の搬入時に応援部隊として駆け付けてくださり本当に本当に有り難く、やはり頼んで間違い無かったと思うと同時に感謝しております。
5946,2020-10-01,テキパキ,5.0,1,重たいものが多くて恐縮でしたが、テキパキと運んでくださいました。営業の方は誠実な印象で、安心して任せられるとおもい、決めました。
5921,2020-10-02,作業員さんや営業の方の印象は良かったです,4.5,1,作業員さんや訪問された営業の方はとても丁寧で親切でした。引っ越しの積み・降ろし作業も非常にスピーディーで助かりました。気になったのは2点ありました。いずれも電話でやり取りしていた際のことです。（これは、最も安いサービスを利用した場合の話です。料金を上乗せすれば、時間指定などが融通が利くようにできたかと思います。）①見積後に引っ越し日を確定させるフェーズで、引っ越し予定日を変更したところ、荷物の運搬にかかる日数が増えてしまい、そこで困りました。当初は中2日という話だったのですが、日付を変更すると中3日になってしまうということであり、2日という前提で動いていたので、他のスケジュールとの調整に苦労しました。②荷物の積み、降ろしの時間帯をこちらで指定することができないところがなかなか苦労しました。引っ越しの際は、荷の積み下ろし以外にもすることがたくさんあると思うのですが、引っ越し業者の指定した時間に合わせて他のスケジュールを組みなおすことになったので、苦労しました。
