,date,title,rate,comment
1764,2017-06-08,対応が誠実丁寧で信頼できる,4.0,見積もりもこちらの要望内に収めていただき、引っ越し当日も丁寧にしていただきました。ベッドを運ぶ際に壁にぶつけていたのは少し残念でした。
1984,2019-05-13,引越後のアフターフォローの連絡もあり満足しました,5.0,低価格で作業もスピーディーで大変良かったです。また、機会があった場合は利用させて頂きたいと思います。
1997,2019-05-14,速いけれど少し雑。,4.25,・税額分値引きしてくれました。・口コミで家具の破損がある、対応が悪いと書かれていた。今回家具の角の破損が1つあり、依頼した名古屋営業所のオペレーターにその旨伝えたら、上役の方が同商品の弁償を申し出てくれました。現品の処分などの対応のため辞退しましたが、対応は良かったです。・ただ、やはり安い分家具の破損はあると考えるべきかもしれません。
1983,2019-05-26,熱意有り、言葉遣いが丁寧、誠実さを感じました。,4.25,【見積もり時の対応】電話対応が早く、営業の方の熱意や言葉遣いも良く、好感が持てました。【料金】一番安い金額を最初から提示してきて、むしろこちらが驚いてしまいました。【作業内容】丁寧、早い、親切！！段ボールに入らないものを手持ちで運ぼうと思ったのですが、段ボール二つを上手く組み合わせてトラックに乗せてくれました！埃が付いている家具を拭くのを、大変な姿勢でも待ってくれたり本当に有り難かったです。新居に運びいれた家具も、微調整を嫌がらずにしてくださいました。【全体的な評価】コストパフォーマンスは最高です。金額、日程、作業、どれをとっても大満足な引っ越しになりました。【良かった点】自分達で運ぼうと思った荷物も、全てトラックに乗せてもらえたこと。日曜日の引っ越しを希望していたのですが、平日と変わらない金額にしてもらえたことです。【気になった点】段ボール回収の連絡をしたのですが、なかなか来ない点です。
1999,2019-06-03,あまり良くはなかったです,2.75,値段が安いので仕方がないですが、壁に傷防止のカバーはありません。作業中に壁がすこし剥がれたのですが、それについて気づいていなかったようで、対応も自信がなさそうでした。残念です。
1998,2019-06-03,明るく丁寧で的確。信頼出来ました,4.5,ハンガーラックも追加していただいたり最初お願いしていた以上の荷物をトラックギリギリまで乗せていただき運んでくださり、助かりました。子どもにも明るく接してくださり、嬉しく思いました。知人に紹介したいと思います。
1980,2019-06-05,良かったです。,4.5,他の引っ越し会社さんの方が安く見積もってもらえたので今回は遠慮しておきますって言ったらもっと安くしてくれたのですごく満足でした！
1994,2019-06-05,迅速、丁寧。,4.5,各社訪問見積もり前提のところ、電話見積もりのみで対応してくれた。当日値上がりすることもなく、こちらが伝え忘れていたものも運んでくれた。なにより引っ越しがとても早かった。引っ越し場所が遠くなかったこともあるが2時間ですべてが終了。ありがとうございました。
1988,2019-06-09,爽やかそう,3.25,説明が少なかった気はしましたがとても早く作業が終わったので良かったです。思ったより早く来て下さり助かりました。効率よかったです。事前連絡もちゃんとして下さりました。また細かい金額も予め教えてくださりお釣りのないよう用意できて助かりました。また訪問見積もりがなかったこともうちとしては助かりました。とても手際の良い方達でした。ですが、少し当日の説明などが少なく洗濯機の設置と運ぶ人が違うことも少し分かりにくかったです。それでも当日中に設置の方も来て下さりその日のうちに作業が終わったのでよかったです。やはり、設置は専門の方がして下さるのは安心できると感じました。設置もとても早く終わり、助かりました。設置と運ぶ人はどうゆう仕組みになってるのかいまいちよく分かりませんでしたのでそこのとこが少し気になりました。
1996,2019-06-10,値段に見合った人が来る所,4.5,良かった所は、作業効率が良いところ悪かった所は、作業員の先輩後輩関係が客から見てあからさまな所他社で見積もり依頼お願いしても、対応が出来ない地域とかが多い場合がある。引っ越し日がまだハッキリ決まってなくて見積もり依頼お願いして価格提示して引っ越し日がギリギリ決まった時価格が異常に高いのはやめてほしい。最初に引っ越し業者と電話で積み込みリストの確認して引っ越し日にリストに乗ってないタイヤ4本積めないか聞くとリストに乗ってないのは別料金て言われたけどどうにかならないかな？
1977,2019-06-10,元気がいい、スピーディー,4.0,【見積もり時の対応】テキパキとしてて、スムーズに見積もりを出してもらえた。電話対応も良かったと思う。【料金】予算は上回ってしまったが、距離が距離だし、急な依頼だったのでそのくらいだと考えれば、仕方ないと思った。【作業内容】力仕事なので大変だと思ってはいたが、目の前で見ていて、予想以上に汗をかきながらスピーディーに作業しているスタッフさんを見て、尊敬した。【全体的な評価】90点/100点【良かった点】スタッフの方皆さんが感じがよかった。【気になった点】ダンボールを持ってきてもらうはずの日にちに、ダンボールを持ってきてもらえなかった。ダンボールを預かってもらう際、とても頑張っていらっしゃっているのに申し訳ないですが、汗が部屋中に垂れてしまっていたので、衛生的にはどうなのかと思ってしまった。
1995,2019-06-10,感じが良く丁寧だった,5.0,見積もりをして、そこからさらに安くして頂けた。それまでに、不動産屋と契約の時に時間がかかり契約の内容と、大幅に違いがありました。基本的に電話をしても、連絡が無く当たり前の様な態度に腹が立ちました。そんな最中のなかでも、ハート引越業者さんの応対が凄く良く引っ越し日に間に合う様にスムーズにいきました。最初から応対が良かったのでハート引越業者にお願いしました。後別に他社業者に電話で見積もりなどをしましたが以前にも勝手にダンボールをおいて帰られ後からお金の請求がありました。終いには、ダンボールの回収位置まで指定されとても腹抱えて立ちました。対応もすごく悪く金額自体もすごく高いです。個人的には、おススメしませんハート引越業者さんの対応の方が断然おススメします。
1991,2019-06-11,ハート引越センター,4.25,【見積もり時の対応】丁寧な説明で不安な点を解消することが出来た【料金】他社に比べて非常にお安かった【作業内容】言葉遣いも梱包の仕方もとても丁寧で良かった【全体的な評価】全てにおいて安心できたので良かった【良かった点】料金が明確で納得できた【気になった点】特にありません
1993,2019-06-12,大阪の方は感じ良かったが、東京の人はイマイチ。,3.75,作業をして下さる方のキャラクターかもしれないが、何となく笑顔がなかったり事務的な話し方でイマイチな印象でした。大阪の方はとても丁寧で、安い金額で申し訳ないくらい良かったです。
1978,2019-06-13,見積もりの対応も良く、引越しの作業も丁寧だった。,4.5,【見積もり時の対応】良かった【料金】非常に良かった【作業内容】良かった【全体的な評価】良かった【良かった点】価格、応対、引越しのタイミング【気になった点】特になし
1992,2019-06-14,電話、見積もり、引越しと、どの段階でも丁寧でした。,5.0,こちらのリクエストに柔軟に対応してくれました。最初の電話の段階で安いプランを提案してくれたので助かりました。見積もり時に疑問などに丁寧に答えてくれました。
1972,2019-06-15,引っ越し会社を初めて利用したためよくわからない。,3.0,・良かった点単身での引っ越しでしたが、特に問題もなく完了できたので良かったと思います。・悪かった点人によると思いますが、担当の人のタバコの匂いがきつく会話に苦痛、いなくなった後もしばらく匂いが残る状態でした。その人は手際も悪かったと思います。もう一人の担当は手際もよく、さわやかな印象でした。
1990,2019-06-16,見積もり等対応の方の印象がとても良かった,4.5,見積もり等対応いただいた女性の方が、丁寧で親切で好感が持てました。段ボールや梱包紙など無料サービスで助かりました。
1985,2019-06-18,これまで知らなかったです。,4.0,【見積もり時の対応】電話対応の時点で来てくれる営業さんの名前をおしえてくれたのは安心感がありました。実際に来てくれた営業さんの提案も的確で、ゴリ押ししたりしなかったのが好印象でした。【料金】基本料金から説明してくれたので、納得できるものでした。【作業内容】皆さん感じが良かったです。到着時が荷物の置き場を都度に聞いてくれてありがたかったのですが、段ボールにもっと作業員さんに分かりやすく書いておけばよかったと反省しました。【全体的な評価】営業さんの段取り力が光ったと思います。作業員さんは言わずもがな素晴らしいお仕事ぶりでした。満足です。【良かった点】引越先の搬入のときの丁寧な対応がうれしかったです。【気になった点】外したエアコンの廃棄する配管は運んでもらえなくて、自分で処分することになりました。エアコン移設の業者さんはそれが運ばれているものと思ったようで、あれば処分しますとのことでした。引越業者さんとの連携が取れていないように感じました。
1989,2019-06-18,作業員の方の対応も丁寧でよかったです。,4.5,【見積もり時の対応】親切で分かりやすかった【料金】予定より安くできた【作業内容】丁寧でよかった
1987,2019-06-19,好印象です。,3.75,予定通り到着。見積もりに無いもので持って行く物がないか聞いて頂きとても助かりました。段ボールの回収も無料で安心しました。
1986,2019-06-20,テキパキしてて、サービスも丁寧でした。,4.5,笑コメントは一切ありません！とても満足してます。また同じ引っ越し会社を利用したいと思いました。本当にありがとうございました！！
1979,2019-06-20,電話対応や現場でも好印象の対応でした。,4.25,他社の安かった見積もり額にほぼ同じ価格にしていただけたのと見積もり電話を対応してくださった方の印象がとてもよかったのでお願いしました。引越し当日対応してくれた方も愛想よく素早く搬出してくれました。旧居も新居も前の道が狭いのに上手に引越し荷物の輸送を終わらせていただきました。難点を申し上げると運んで頂いたゲーム機の箱に大きめの傷が出来ていました。なので外箱が傷ついて困るものはやはり手間でもダンボールに入れた方がいいですね。
1982,2019-06-22,とても感じのいい人だった！,5.0,丁寧な対応でとても良かったです。段ボールの追加にも対応してくださり感謝しています。コストパフォーマンスが最高です。
1964,2019-06-22,全体的に感じが良い,4.75,大阪市から北九州市への転居。荷物が少なかった為より安い業者さんを探していました。電話見積もりだけでしたが電話口の方の感じも良く、また当日作業に来られた方もスペースの取らない物ではありましたが、当初お伝えしていなかった物も運んで下さり大変助かりました。(幅3cm×150cm程の棒4本と雨傘1本)ひとつ残念な点としては、お電話見積もり、また引越し前に送られてきた見積書ではダンボール4箱と衣装ケース11箱のみだった為その通りにこちらも準備をしていたのですが、当日作業員の方にハンガーボックスも準備していると言われ、ハンガーボックスがあるのであればコートやスーツを無理に衣装ケースに押し込むことも無く、またその為のスペース確保の為に洋服をいくつか捨てずに済んだな、と少し残念でした。しかし、金額、対応とも全体的には満足しています。
1924,2019-06-22,コストパフォーマンスは×,2.5,引越作業をした人はテキパキと良かった。自分ですることとなっていた荷物の梱包も一部出来ていなかったが、手伝ってくれ助かった。ただし、作業は早いが少し雑なところあり、また、出る建物、入る建物とも養生を全くしていなかった。何も無かったから良かったものの、少し心配であった。ただし、見積担当者の対応、受け答えは非常に悪い。はっきり言って、電話での対応自体、気分が悪く、断ろうと思ったが、当日は引越した立て込んでおり、他社に断られたので、仕方なく、ハート引越センターにした。金額的にも、人の足元を見ているのが高額を提案されたと思う。（他社の数社に、仮に当日、引越受けられたとした場合の金額を聞いたのだが、ハートは断然、高かった。ハートは営業所（担当者）で、態度が大きく違うと感じた。次はこの会社は選ばない！
1973,2019-06-22,訪問でわかりやすく説明してくれた,3.5,【見積もり時の対応】最初にメールで大まかに見積りを作ってくれたのち、訪問でわかりやすく説明してくれた。【料金】値引きしてくれたと思う。運ぶ荷物がポイント制なのでわかりやすい。【作業内容】荷物が少ないのもあったので手際は良かった。【全体的な評価】３人での訪問ということもあり速さは良かったが、こちらが洋服の掛け替えなどの作業しているのにも関わらず「これだけですか？もう終わりですか？」と何回も聞かれて急かされてるように感じた。おかげで２点お願いしていたものの配達忘れがあり、自分で運ぶ羽目になった。
1981,2019-06-22,見積り時も作業時も対応がとても良い,4.5,食器類が何枚か割れていて、梱包材にもらった紙では補強が足りないのだとわかりました。ちゃんとした緩衝材などのサービスがあれば良かったと思いました。(高額なものではないので申し出ることはしません)対応も作業も早くて、他に不満に思った点はなく、他社さんに比べても安かったし衣装ケースもいくつか貸してもらえて段ボールの回収もあるので便利です。
1970,2019-06-23,誠実さ,4.5,無理な営業はなく、連絡などやりとりは迅速かつスムーズだった。ちゃんと見積書を紙でくれたのも信頼できる。当日作業も迅速、違和感なく進められ気持ちよく引っ越し出来たのが良かった。
1965,2019-06-23,電話オペレーターは対応がよい。,3.5,良かった点電話のオペレーターはとても対応がよく、荷物数の増減にもしっかり対応していただきました。また担当のオペレーターが変わった際も、しっかりと引き継ぎがされていて好感が持てました。家具の配線の接続が有料なので利用しませんでしたが、配置の要望は聞いていただき良かったです。悪かった点作業員はスピード重視で丁寧さに欠ける対応でした。汗を撒き散らしていたところが嫌でした。事前に詰めなくても良いといっていたオーディオ機材などは、当日に作業員が雑に段ボールに詰め込まんだので、自分で詰めたほうがよかったと思いました。配線の接続くらいは無料でやるともっと人気が出ると思います。また不用品の回収がもう無料ではなくなっているのも、マイナスポイントです。電話の対応が言い分、当日のスタッフの対応がいまいちなので、値段相応と言う感じでオススメはできません。結局は当日の対応がすべてなので。魅力のある引っ越し業者ではありません。
1967,2019-06-24,作業が早く丁寧で良かったです。,4.75,予想していた金額よりも安く、魅力的だった。作業も全体的にスムーズに行われ安心して任せられた。
1975,2019-06-24,テキパキして早い,5.0,料金も安くて安いからといって手抜きするわけでもなくテキパキとスピード感ある動きであっという間に終わりました。娘からのイチオシもあって決めたけど良かったです。私も友人にオススメできる引っ越し屋さんです
1974,2019-06-25,あまり有名ではない気がする,5.0,訪問見積もりせずに見積もりして貰えたのは助かりました。荷物が思っていたより運びきれず予定より大幅に増えてしまいましたが、たくさん運んでいただけたので何とかなりそうです。立て付けの悪い棚は運ぶ前に壊れる可能性を説明していただけました。(壊れなかったですが)見積もりから引越しまで、担当の方々がとても親切だったので、引越しの際はまた利用したいです。
1976,2019-06-25,あまり知らないところでしたが、とても良かったです,5.0,電話での対応が的確で感じが良かったです。思っていたより金額もお安く助かりました。一番に電話がかかってきたところは、こちらの2倍のお値段でした。当日の対応や技術もとても良かったです。段ボールが足りなくて、当日を迎えてしまったのですが、枚数を足してくださって同時進行で早く荷造りできました。作業の方が、明るくて本当に気持ちよく引っ越しできました。
1960,2019-06-26,淡々と仕事をしてくださった,4.0,自分が考えた相場よりは少し高い金額になりました。見積もりから期間が短ったこと、月末であることを考慮して今回は頼みました。事前の見積もり時にクレジットカードで支払えると聞いていたので、当日現金の準備をしていなかったのですが、当日支払いの時にクレジットカードでお願いします。というと、今回の契約は現金支払いのみですと言わました。混乱しましたが、どうしようもなかったので急いでコンビニまで現金を引き出しに行きました。事前に、お金の清算に関してしっかり説明しておいて欲しかったです。。。作業自体は荷物があまり多くないこともあり、それほど時間はかかりませんでした。しかし、最初に外も荷物を2点と伝えていたのですが、最後積み忘れていて慌ててトラックを呼び止めて積んでもらいました。ちゃんと荷物の確認はするべきだと思いました。全体的に落ち着かない引越し日でした。
1971,2019-06-26,親切でした！,4.25,私が他の荷物を運んでいると「重いもの運びましようか」と声をかけてくださいました。とても親切に感じました。作業スピードも早く、あっという間でした。ありがとうございました！
1963,2019-06-27,対応が良く、金額もわかりやすく提示してくれた。,4.5,A社は20万、B社は13万で、ハート引越センターは時間がフリーで7万5千円と破格の金額だった。対応も3社の中で一番良く、しっかりとしていた。函館では知名度が低いようで心配だったが、口コミ通り問題なかった。機会があればぜひお願いしたい。
1950,2019-06-27,運搬のペース速や過ぎて作業は多少雑かと,3.5,料金が安いのは良かったです荷物は責任を持って最後まで運んでくれました作業スピードは尋常じゃないレベルでした荷物の取扱いが多少雑だったのは嫌でした
1969,2019-06-27,もう2度と依頼しない,2.5,値引き交渉も一切しなかったのに、見積りの営業担当者も、その後の電話での問い合わせ対応も、まったく顧客の側にたった対応をしてくれず、キャンセルしたかったができなかったので、非常に後悔した。作業員に関しては、1人の方がこちらに寄り添った対応をしてくれようと気遣いしてくれたので、少し救われた。作業自体は、かなり大きな音を立てることが度々あり、とても不安だった。何をしたのか聞いても、「大丈夫です」しか言わず、心配ばかりしていた。一度しつこく聞いたら、テレビにぶつかった、と答えたが、ダンボールも何度も落とし、その度に悲しくなった。とにかく、何をしたんだと思うくらいの大きな音を何度もたてたので、もし壊れているものを見つけたら訴えるつもりだ。何度も引越しをしているが、こんな誠意のない業者は初めてだった。誰にも紹介しません。
1968,2019-06-28,迅速,4.25,迅速に荷物を運び、笑顔で対応して下さって利用して良かったです。こちらの包装が甘かったのかもしれませんが、お皿が1枚割れていたのが残念でした。
1957,2019-06-29,丁寧で迅速な対応でした。,4.25,単身赴任のため訪問見積りに対応できない事をお伝えすると電話での聞き取りで対応いただくとともに、申告漏れがあった場合の注意点の説明だけではなく、申告漏れが無いように『●●はお持ちでしょうか？』などのサポートも丁寧だった。引越し当日も何もする事が無いくらいに全部していただくとともに、搬入もその後の整理を勘案した配置や疑問点などを確認していただき、整理も短時間でできた。次回も利用したいと考えてます。
1966,2019-06-29,リピーターですが、いつも対応が良い印象です。,5.0,コストが安かったためか、引っ越しのやり方の冊子をいつも頂けてたが、今回初めて無かったです。ただ無くてもスムーズに行えたので満足しています。時間帯は17時から19時と遅い時間を言われたので困りましたが、少しでも早くしようとされた雰囲気はありました。
1939,2019-06-29,特になし。,3.0,全体的に良かった。ただ、袋をかぶせる時に無理矢理力技でかぶせたり、物を床にドカンと置いたりするところがあったので、その辺りは気をつけるべきではないかと思います。
1952,2019-06-29,あまりよく知らなかったが、大手と遜色ない。,4.25,迅速丁寧だったが、タバコの匂いが気になった。引越し代金の相場が上がっている中で、単身の少量パックを見つけるのが大変だったので、往路引越しよりも高くなったが、仕方がないでしょう。
1962,2019-06-29,てきぱきやっていただきました。,4.5,洗濯の設置を後日頼みました。住所が間違って伝わっていて来ていただくのに時間がかかったので、しっかり伝えていただきたかったです。
1961,2019-06-30,引っ越し専門の会社とは思えない。,2.5,今回、初めて、ハート引越センターを利用しましたが、今後利用しようとは思えません。訪問見積もり、搬出までの、対応は非常によかったです。搬出の際に、不用品の回収を依頼していたのですが、依頼していた物の他にも、当日サービスで回収していただけたのは、大変助かりました。しかし、まず、搬出作業に時間がかかりすぎです。一人暮らし（１K）の引っ越しのため、これまでの経験から１時間弱を見込んでいたのですが、２時間半かかりました。次に、運搬・搬入が非常に雑でした。段ボールがへこんでしまっているものがいくつもあり、布団袋も破けていました。指摘しても、「重かったもので」と軽く応答され、それ以上の説明はありませんでした。段ボールや家財の配置も、こちらの話をきくことなく、どんどん荷物を室内に置かれてしまい、その後、配置変更の相談をしても嫌な顔をされました。結局、自分で配置しなおしました。当初の対応がよく、期待値が高かった分、非常に残念でした。
1942,2019-07-01,他の会社のことをあまりよくいわない,2.75,大手や運送会社とはちがって丁寧で実績もあるからということで、一度契約した会社を断ってまで契約したのに、実際は予想より荷物が多いと嫌な顔をされ、こちらももたついたり、追加したりしたら、不快な態度をしていた。新居についたらベッドマットに穴が開いていたのに申告なし。床に傷がついていたり、階段の往復がものすごい勢いで上り下りしていて、丁寧な対応とは程遠い。
1947,2019-07-01,スピーディで安くて良かった。,4.25,スピーディでとっても早く引越しが終わって良かったが、自転車を見積もりから外してほしいと電話とメールで言ったが、結局、自転車分の料金も取られてしまった。ギリギリだったから仕方なかったのかもしれませんが、あまり金額が変わらなかったので許容範囲でした。
1959,2019-07-02,個別家具類の価格設定が抜群!,4.75,今後引っ越しする友人知人には、ハート引っ越しセンターさんしかすすめない。それくらいインパクトある価格設定でした。今後引っ越しがある場合は、是非ともお願いしたい。
1958,2019-07-02,中堅トップ,3.75,・良かった点初めて依頼したので、大手と比較して少し不安でしたが、作業スピードがかなり早くて満足です。・悪かった点挨拶もままならず、さっさと作業が始まっていたこと。靴下を履き替えていなかったこと。
1951,2019-07-03,コスパがとても良かった,4.25,他社と比較して断然こちらが安かったので決めました。他社と比べて、最大で5万近くお安くしていただきました。とても手際が良く、荷物も丁寧に扱ってもらえたのですが、上司とみられる方が腰パンしていた事が少し気になりました。ハンガーラックを貸出してもらえたことと、自前のダンボールを回収していただけたことがとてもありがたかったです。次の引越しの時もお世話になろうと思います。
1948,2019-07-03,電話対応も良かったし作業員も丁寧迅速だった。,5.0,ハートさんに関しては文句なしの対応でした。あとは自分勝手なことですが引っ越し代金がもう少し安ければ良かったな、と思いました。
1954,2019-07-04,人当たりが良く、安心しました。,4.0,見積もりに来られた方の対応が良く、値引きもスムーズに行って下さいました。ダンボールも即日持って来てくださり、直ぐに引越準備に入れました。作業員の方の人当たりが良く、作業の手際も良かったです。家具に少し傷がつきましたが、修繕の対応をしっかり行って下さいました。搬入と搬出の作業員が違う方だったので、分解した家具など組み立ての時に「どうなってました？」などと聞かれました。引越先にも営業所があったので、ダンボールの引き取りも後日来て頂けました。家具に少し傷がついてしまいましたが、全体的な対応が良かったので、また利用したいと思います。ありがとうございました。
1956,2019-07-04,手際良く、感じの良い対応でした。,3.75,作業員、2人と聞いていたのに、4人くらい、いらしたので、何でかなぁと思ったのですが、金額は変わらなかったので、特に聞かなかったのですがそれとなく、教えて欲しかったなぁと思いました。
1941,2019-07-05,丁寧に対応してくれた。,4.0,良かった点　対応と荷物運びが丁寧でスムーズ。　　　　　　洗濯機等の引き取りサービスも良かった悪かった点　来る時間帯が曖昧。もう少し絞った　　　　　　時間帯を言って欲しい。
