,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
1,2023-08-27,とてもいい印象をもちました。,5.0,まず見積もり予約時の電話対応がとても丁寧でよかったです。こちらのペースで引っ越し計画をたてられました。何社か見積もりをお願いしましたが、作業の説明を丁寧にしてもらい、こちらの金額的な要望にも応えてもらえたのでアーク引っ越しセンターさんにお願いしました。見積もり時の対応も好印象でした。見積もりの相場を調べ、できる限り費用を抑えたいと考えていましたが、提示金額も予算よりも安く他社よりもサービスが充実している印象を持ちました。当日はこちらの準備が思うように間に合わず、荷造りの途中でしたが、そちらも嫌な顔せず丁寧に対応してもらいとてもいい助かりました。作業スピードが早すぎてこちらの対応が追いつかなくなる場面があったので作業開始前に簡単なミーティングをしてもらえばよかったかなとは思いました。搬入時も新居を傷付けないよう作業してもらえてとても満足しています。,静岡,静岡,いつでも,5,5,5,5,5,3,10,6
0,2023-08-26,親身になって、引っ越し後の大変さも考えてくれた,3.75,暑い最中に、ありがとうございました。とてもスピーディーに運び出してくださり、助かりました。1点、こうしてほしいなというところがあります。冷蔵庫や洗濯機の下に設置する天板のこと前もって説明くださっていれば、それなりに準備していました。代金支払いの部分で見られたくないところを見られた感がありました。,福島,福島,いつでも,4,4,3,4,4,5,30,6
2,2023-08-26,アーク引っ越しセンター,4.5,見積りの方も感じの良い方で、当日のスタッフもテキパキと荷物を運んでくれました。その日は大安だったので、引っ越しも多いみたいで1か月前に決めたのですが、朝の9時から始めてくださることが出来たので良かったです。高齢者と同居のため、できるだけ午前中から始めて早く終わらせたかったのでこちらの会社に決めました。,神奈川,神奈川,いつでも,4,4,5,5,14,5,90,10
4,2023-08-19,社員教育がしっかりされてると感じました。,4.75,今回はアークさんが一番早く連絡してきてくれたためアークさんに決めたがその後の対応も良く、担当したリーダーさんも人柄、対応、仕事全てが満足でした。電話で伝えた荷物の量より多くなってしまったが嫌な顔もせず快く対応してくれた。荷物の積み込みは思っていた以上に早く、社員教育はかなり徹底されているのがよく分かります。リーダーさんを含めた３名のスタッフさんらは暑い中テキパキと動いてくれたので感謝しかなかったです。まわりに引っ越しを考えている人がいたらアークさんをオススメしたいと思います。※手持ちの段ボールを３つもいただきありがとうございました。,三重,愛知,いつでも,5,4,5,5,2,1,8,5
5,2023-08-15,親しみやすくて良かった。明るい感じの人でよかった。,4.75,【見積もり時の対応】よかった【料金】思ったよりも安くて良かった【作業内容】台風が来てる中やって頂き、丁寧な作業でよかった【全体的な評価】満足【良かった点】明るい感じでよかった【気になった点】台風でもやるってこと。,岐阜,岐阜,いつでも,4,5,5,5,2,4,0,7
9,2023-08-13,以前利用したことがあったので、任せて安心でした,4.75,引っ越し当日に担当してくださった方の対応力（接客面・清潔面）が素晴らしかったです。以前に利用させていただいた時よりも格段に上がっていたので大変驚きました。まさに企業努力を感じました。コミュニケーション力も高い方が多く親近感が持てました。,宮城,宮城,いつでも,5,5,5,4,7,5,30,8
7,2023-08-11,明るいし、早い対応が、助かりました。,4.25,電話の対応が、第一印象大変感じよかったので、緊張したり、どうお願いしたら良いかも戸惑うことなく相談できました。何より、気持ちの良い受け答えが、好印象なのと、リーズナブルなお値段なので、とても助かりました。近いうちに、運び出したいものをお願いできたらと思っています、その時にはよろしくお願いします、,愛知,愛知,いつでも,5,5,3,4,3,1,0,6
3,2023-08-10,作業が速くて良かった。さすがプロ,4.0,【見積もり時の対応】引っ越し業者を頼むのは初めてだったけど分かりやすかった【料金】自分が思っていた金額でした【作業内容】てきばきしていて良かった【全体的な評価】とにかく良かった【良かった点】冷蔵庫の下に敷くマットを準備していなかったけど業者の方が持っていて助かりました【気になった点】なかった,宮城,宮城,いつでも,4,4,4,4,3,4,0,7
6,2023-08-04,仕事が早くて、丁寧。,4.25,見積もり時は作業員2名と聞いていたが、当日は正社員1名か2名、アルバイト1名の3名体制で、トラック2台で来てくれた。引越し時間を選ばないプランで、２日前に当日の時間を連絡してくれることになっていたが、見積もり時の、こちらの希望通りの時間に来てくれて助かった。アート引越センターやサカイ引越センターとは違い、予めタンス内の服は全部出して空にふる必要があり、その分たくさんダンボールを使用するのが環境的に疑問なので改善してほしいのと、こちらも面倒だった。引越作業をしてくれた作業員の方が、見積もり時にお願い済みだった、転居先の照明の取り付けを予定通りしてくれて大変助かった。,大阪,大阪,いつでも,4,4,5,4,13,5,40,6
8,2023-08-03,心遣いが温かい引越し会社,4.5,・ダンボールが足りずに追加購入しましたが、営業所の方の手配もスムーズで、引っ越し準備で忙しい中とても助かりました。・遠方引っ越しでしたが、日程希望を汲み取っていただき本当にありがたかったです。・作業員の方は、壁掛けフック等細かい物も外してくれたりと、心遣いがありがたかったです。・ダンボールのプレゼントがあり、ありがたかったです。・担当の方がお忙しいのか、なかなか連絡繋がりませんでした。その為、一旦営業所経由で連絡していた為、そこは折返しの電話をいただける様にするか何かしら改善お願いしたいです。,宮城,茨城,いつでも,4,4,5,5,4,6,50,6
11,2023-07-30,明るい感じで、とても感じが良かったです。,5.0,荷物が多いけれども、予算を抑えたいという希望に対して、なるべく安く済ませることが可能なご提案をして頂きました。また、引っ越しまでにあまり日数がなく、本当にその日に引っ越しが出来るのか不安でした。荷造りに関して、あまり負担のないようなご提案、例えば、段ボールにしっかり梱包しなくても、袋に入れて口が閉まっていれば持っていきます、家具類の中身はそのままでOKなど、とても助かりました。なんとか予算に近い金額で、無事に引越しを終わらせることが出来ました。業者を決める前には、何度か営業の方に相談に乗って頂き、時間外でも快く対応をして頂けました。また会社の窓口の方も質問に対しても迅速、かつ丁寧に対応をして頂けました。初めて利用させて頂いた会社でしたが、安心して利用することができました。担当の営業の方も、実際に作業をしてくださった方もとても感じが良かったです。新築の家への引っ越しだったので、家、家財を傷つけないように丁寧に作業をして頂けました。本当にお世話になりました。心より感謝を申し上げます。,福島,福島,いつでも,5,5,5,5,3,0,0,6
12,2023-07-30,テキパキしている。フレンドリー。,4.75,訪問見積りにきて頂いた方もフレンドリーで、とても質問しやすかったです。その方の対応の良さで、訪問見積り1社目にも関わらず、お願いすることに決めました。また、引越し当日は猛暑の中、テキパキ仕事をして頂き、大変ありがたかったです。,宮城,宮城,いつでも,4,5,5,5,2,3,20,10
13,2023-07-30,大変良心的で、人間味のある会社,4.0,良かった点今回の引越しが台風2号による床上浸水の報告結果が出て、退去命令を受けてから2週間しか猶予がありませんでした。車も水没して、買い替えをするなど大変な出費が重なり、そのすぐ後の退去…地元の業者に見積りを依頼しましたが、余談は全く無く規定見積りをして値引き、希望価格など一切の会話もなく帰られました。1番の決めては価格ですが、地元でもないのに、他人事ととらえず、最大限の価格を提示してくれました。理由を親身になってくれて、価格面で想像以上に頑張ってくれたので、人柄が会社にも反映されていると思い決めました。大変な猛暑の中、作業終了まで手を止めず頑張ってくれました。悪かった点作業終了後、自分がすぐに確認して、お伝えしなければいけませんでしたが、帰られてから気付いたので…冷蔵庫に２箇所キズがありました。搬入時についた記憶があるかどうか、直接　聞く事が出来ませんでした。,愛知,愛知,いつでも,4,4,4,4,7,7,15,5
