,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
0,2023-10-23,安心　誠実　大手,4.5,良かった点数社見積もりした中で、基本料金は余り差が無かったが、エアコンの安心パックがお得だったので、エアコンの移設を含めるとトータル安くなった。作業員は3人来て頂いて、リーダーの人は気さくでかつ説明もちゃんとしていて作業もしっかりしていた。部下の人へ少し厳しすぎるのが難点かな。見積もり時に頼むのを忘れていたロフトにある大物をどうやって降ろそうか1人で悩んでいたのですが、引っ越し当日に頼んだら、さすがプロですね。3人でしっかりおろしてくれました。見積もり後の追加でしたが、運んでもくれました。感謝です。悪かった点エアコン業者は別会社で、このエアコンは安心パックが適用されず追加料金が出るかもしれないとエアコン業者から言われたので、アリさんに問い合わせたらそのままで良いですと言われたが、1週間後取り付けに来るまで追加料金が発生するのでは無いかと心配。,静岡,静岡,いつでも,3,5,5,5,7,6,30,5
2,2023-09-30,親切で丁寧であった,4.5,当日の作業については丁寧でコミュニケーションも取りながら作業していただけたため、気持ちよくスムーズに引越しをすることができました。オフィスの引越しの為、多い荷物の中丁寧に作業していただき感謝しております。,大阪,大阪,いつでも,5,4,4,5,15,0,0,3
1,2023-09-27,営業の方の話し方がわかりやすかった,4.5,引っ越し時、何度か怒られている作業員の方がいて、少し不安になった提示された金額よりもかなり安価で契約してもらえた。14万円の提示から11万円まで下がった。段ボールは60箱いただきました。少し足りなかったですが、自分で7箱追加しました。でも何も言われずに運んでいただけました。他社の見積もりよりも高い場合、日程さえ合えば契約するから他社と同じ金額でやって欲しいと伝えたら、頑張ってくれました。,静岡,静岡,いつでも,4,4,5,5,15,4,50,5
3,2023-09-24,訪問見積時も実際の引越作業でも,4.5,"【見積もり時の対応】引越し侍登録後、当日に訪問していただき、具体的な見積もりをとっていただきました。営業の方はとても気さくで話しやすかったです。他社からメールや電話で見積ってもらっていた額も一覧表にしてすべてお伝えすることで、他社より安価にしていただけました。（引越し侍での一括見積によって事前に相場を把握できていたのは非常によかったです。）また、家具や家電をどのように処分すると最も安くできるかといった相談にも乗っていただきました。とにかく安くしてほしいという要望に、しっかりと向き合っていただけたと思っています。【料金】自身が「このぐらいなれば理想」と考えていた金額より5,000円以上安くなりました。（最も高く見積もられた引越社より、12,000円も安くなりました。）【作業内容】丁寧に養生していただき、段ボール、家電、家具と順番に運び出していただきました。そこそこ重量のある家具もいくつかありましたが、トータル30分ほどで搬出していただきました。家具の一つ一つ布で包んで、傷・割れのないように丁寧に作業していただいたのが印象的でした。特にベテランのスタッフの方の仕事がとてもはやかったです。その後、搬送から搬入も一貫して同じスタッフさんにしていただきました。大変な作業を連続して行っていただき頭の下がる思いです。【全体的な評価】最初の電話でのアポイントから、訪問見積、引越作業含めとてもスムーズでした。料金も安くしていただき、満足しています。【良かった点】●初めの訪問アポイントの電話応対時に話しやすく、日程がスムーズに決まった点。電話がかかってくるタイミングもよく、訪問の日時もすぐに決まりました。マニュアルの読み上げのような雰囲気を感じる引越社さんや、なかなか訪問のアポイントが決まらないところもありましたが、こちらの引越社さんは気さくで話しやすく、日程もすぐきまりました。●訪問見積にきてくださった営業の担当者さんもとてもきさくな方でしたので、短時間で腹を割った話ができた点。こちらの要望を第一に考えてくださるのが伝わりました。●訪問見積の時点で契約を決めたのですが、その際に梱包用のダンボールとガムテープをもらえた点。荷造りもすぐに着手できてよかったです。●引っ越し作業は、びっくりするほどスピーディーで、丁寧に搬出・搬入していただいた点●家電や飲食店、買取の優待券や、シャンプー・コンディショナーの粗品もいただきました。●上記、非常に満足感の高いサービスの上、料金を非常に安く設定していただいた点。",大阪,滋賀,いつでも,4,5,4,5,3,1,10,7
4,2023-09-15,営業と社内との情報連絡が共有されていない。,4.25,引越し作業員は迅速丁寧で良かったです。営業担当者は提案もあり良かったのですが、商談後は会社に全て丸投げなところが気になりました。情報共有されていると営業担当から聞いておりましたが、商談内容の確認の話しが通じなかったり、段ボール数の変更も連絡されていなかったです。引越し後にウォーターサーバーの設置勧誘もやめて欲しい。,兵庫,兵庫,いつでも,4,3,5,5,4,12,30,8
8,2023-08-31,とても良かった。,4.25,良い点は、何事も早く対応してくれた。悪い点は、エアコンの取り外し取り付けの日にち。価格は4社でくらべました。見積りの方が素早く査定してくれて、会社の了解のもと価格決定。と他社との比較ができてよかった。見積り粗品でマスク。その他得点がありましたが実際に使えるのはマスクのみかなぁと思いました。箱詰め作業の方も、とても感じがよく良かったです。作業される方も手際よくて安心して任せる事ができたとおもう。暑い中頑張って下さいました。その際にもエアコン取り外し取り付けが当日で実施してもらえたら良かったと感じました。,大阪,大阪,いつでも,3,4,5,5,8,11,30,4
10,2023-08-29,スピーディかつ丁寧。,4.25,【見積もり時の対応】他者との比較とメリット・デメリットをきちんと説明してくださり良かったです。【料金】遜色ないです。【作業内容】一部、不安な点もありましたが基本的には安心してお任せ出来ました。【全体的な評価】機会があればまたお任せしたいと思うくらい良かったです。【良かった点】丁寧な梱包や人柄が良かったです。【気になった点】新人さんの作業方法。,東京,奈良,いつでも,4,5,4,4,5,4,15,9
15,2023-08-28,かなりスピーディーかつ、堅実。,4.25,【見積もり時の対応】作業の流れなど説明してくれたので、不明な点が無く好印象でした。【料金】いくつかの業者で見積もりを取り、安さと信頼のバランスが良かった。【作業内容】【全体的な評価】基本的なサービスがあるので、過剰なサービスの業者と比べてリーズナブルに引っ越しを頼める。【良かった点】【気になった点】エアコンの工事が他社より高いかもしれないが、追加料金はないようなのでそこは安心できます。,東京,神奈川,いつでも,3,4,5,5,8,8,30,5
12,2023-08-28,プロフェッショナル,4.75,当初は引っ越し前に部屋整理の業者さんに不用品をある程度処分してからお願いしようと思っていましたが、見積り時に詳しくお話して下さり「要らない物、要る物を分けてもらえば処分含め全部こちらでやれます」と言われたので、他社より値段は高かったですがお願いしました。当日作業の方々の対応も非常に良く、梱包から搬出搬入までとても丁寧で何も心配することは無かったです。直前にタンスを廃棄する事になったのも別料金て対応していただきありがたかったです。ただひとつだけ不満に思ったのは、処分品すべて回収すると聞いていたのに当日「一般家庭ごみとして出せる物は回収できない」と言われ引っ越し先に持っていくことになり、分別をやり直して出すことになった事は話が違うと思いました。,愛知,愛知,いつでも,5,4,5,5,4,5,15,6
11,2023-08-28,,5.0,丁寧に荷物を運んでいただけてとてもよかったです。お客に対しての接客は満点でした。ただ､新人さんなのか…教育だとは思うんですが､少し言い方がキツく感じました。もう少し物腰優しく言ってあげてもいいのではないかと思ってしまいました。,静岡,静岡,いつでも,5,5,5,5,7,6,0,6
