,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
0,2023-10-24,安心できる,4.5,県を越えるので積み下ろしがあり、梱包ミスで破損箇所がありました。ですが、すぐに対応してくれて流石だと思いました。各支店で、それぞれの足りないところを消費者目線で助けてくれました。電話もすぐにつながり、困ったときにはすぐに相談できました。また引っ越しすることがあれば、お願いしたいと思います。契約や完了の手続きがデジタル化していて便利でした。若いスタッフでしたがよく訓練されていて、手際良く作業していました。質問にもしっかり答えてくださいました。作業前後の挨拶もよかったです。今回は送り出し側も配送側もよい方に作業していただき大変よかったです。ありがとうございました。,滋賀,山梨,午前,4,4,5,5,2,0,10,5
1,2023-10-19,信頼でき、任せて安心という印象だった。,5.0,一軒家からマンションへの引っ越し：当日の積み込み、新居の方での積み下ろしも迅速でスムーズで、養生作業も含めて、満足のいくものだった。ただ、1点（お互い確認不足であったことが理由だが）、一軒家で使用していた物干し竿が縮められない仕様のもので、3～4ｍくらいあり、トラックに積み込めたことでマンションに持って来たようだが、マンションのエレベータに乗るはずもなく、また階段も狭いため踊り場で回転できないので持って上がれず、廃棄することになった。その点、今後確認が必要な事項かと思われる。,新潟,新潟,午前,5,5,5,5,1,4,20,0
6,2023-09-30,スタッフの印象が良かった,4.0,オンライン訪問見積もりは便利。その後のプッシュもしつこくなく適正な印象。スタッフの引用もよく、安心感があった。引っ越し楽々パックが在庫切れとのことで事前に届かず、サポートに連絡したら次の日に持ってきてくれた。現場とうまく連携が取れていないのかと思った。引っ越し当日はスタッフもテキパキしてスピードも早く丁寧でとても印象がよかった。長年使っていたのに気づいていなかった家具の痛みも運ぶ前に指摘してくれて助かった。引っ越し全体を通してスタッフの方の印象はとてもよかったです。ただ外注会社が行ったエアコンの取り外し、取り付け工事は配管カバー等のオプションをつけるとかなり高額になるので、自分で安い会社を探した方が良いと思う。,東京,東京,午前,3,5,4,4,6,8,30,10
9,2023-09-30,非常に丁寧にご対応いただきました,5.0,見積もりから引っ越しの日時まであまり時間がなく、こちらの都合に合わせて丁寧にご対応いただきました。繁忙期というわけではなかったことと、運び出す荷物の量がさほど多くなかったことから、値引き交渉にも快く対応いただけました。当初想定していた料金より多少高くはなりましたが、家財やドアなどの家の保護を入念に行っていただいたので、値段に見合った対応をしていただけたのではないかと感じております。もし何度も引っ越す機会があれば、同じ引っ越し会社を複数回利用すれば安くしてくれる可能性は高いので、同じ会社を利用することをお勧めします。,徳島,兵庫,午前,5,5,5,5,2,1,20,4
4,2023-09-28,他社より対応が早かった,3.25,アートさんが一番早く連絡をくれて、値段も即断即決であれば安く出来ると提案をくれた。電話対応も現場のスタッフの対応も悪くなく、スムーズに引越準備も引っ越し自体もスムーズに出来たので満足している。悪かった点は引越し侍で入力した引越し時の荷物の種類や多さなどの内容を再度アートのサイトでも同じ入力をさせられて二度手間になったことです。ただ、全体を通してアートさんの引越しにして良かったと言えるほど値段も内容も満足はしております。,東京,愛媛,午前,3,3,4,3,1,4,10,6
7,2023-09-28,非常に良かった,5.0,良かった点元々契約している荷物の個数よりも多めに持って行ってくれた。2人が対応してくれたが、2人も愛想が良く気持ちよかった近場だったのもあるが、午前中にきて、午前中に引っ越し作業が終わり早く引っ越しが終わった。,愛知,愛知,午前,5,5,5,5,4,4,10,3
10,2023-09-28,スピード、質、丁寧さいずれも最高でした。,5.0,今回は依頼から引越し希望日まで１ヶ月という強行軍でしたが、引越侍さんに登録したことで、スピーディーに引越業者の選定、作業完了まで進みました。結局アートさんに依頼しましたが、見積もりはサカイさんが一番安かったです。(３万円くらい)しかもサカイさんは繁忙期ゆえ、前日出し、翌日入れを前提としての価格なのに、一番安かったです。そのわりに営業さんが値段を売りに攻めてこなかったのは不思議でしたね。意外だったのは、アリさんマークの引越社が一番高かったことです(23万円)。最後は過去の自分の実績を頼る判断でしたが、相見積もりをしっかりとって比較できたからこその判断だったと思います。また、今回の、残念だったのは、メールでのファーストタッチで、概算すら晒さない業者が多かったことです。ネットで簡単見積もり…のつもりで、アクセスしたので、このあたりは、もう少し中身のあるファーストタッチだとなお、よいのではないかと思いました。,神奈川,神奈川,午前,5,5,5,5,11,4,40,9
11,2023-09-28,受付の対応が忙しいと思いますが、高圧的なでした。,2.5,良かった点:作業員の方は対応が良かったです。悪かった点:電話受付での対応。忙しい時期かも知れませんが、高圧的な印象でした。パッキン詰め終了してないと搬出しないとか、作業日当日15時～16時予定で予約していたが、早めに作業が終わったので、今から伺って宜しいですか?と、時間通りに作業進めていたにも関わらず、そちらの都合で合わせるのはどうかと思います。総評:電話対応は正直、お客さん逃します。今回は時間帯が合ったので契約しましたが、他社でも安い業者は多々ありました。次回、もし利用することがあれば電話対応悪ければ利用しないでしょう。,大分,福岡,午前,1,1,4,4,3,6,10,10
12,2023-09-28,営業、作業員ともに素晴らしい対応で満足でした。,5.0,営業:繁忙期だったので値段的にもよくわかる頑張ってくれたと思う。営業さんの熱意も伝わったし、説明も簡潔で良かった。作業:本当に何から何まで素晴らしい作業員さんで不満が一つもなかった。（対応、作業速度、養生、安全性など）,北海道,北海道,午前,5,5,5,5,3,0,0,8
3,2023-09-27,契約した以上の荷物を快く積んでくれた,4.0,人当たりは良かったが、実家からの引越しだったからか電子レンジを積み残し、後日宅配で届けてくれた。搬入当日には4時間の遅刻。別件を入れ、後回しにされた感が拭えない。段ボールのひきとりに3000円請求され町内のゴミに出した。資源の有効利用を考えるべきだった。,大阪,東京,午前,4,4,4,4,5,4,20,7
