,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
4,2023-09-29,営業・作業者とも熱意ある若手で馬が合った,4.75,依頼した業者様のから複数の訪問見積もりを素早く頂くことができましたので、価格やダンボールの必要数など見積精度を含めて良い条件のところを選定いたしました。結果として、60の段ボール箱を用意して未使用が2つと感動的な集荷対応でした。独身者には、一律この対応。などとされては困る方は応対が手間でも多数同時見積もりを頂き、良く相談し営業マンの眼力にも頼る事が良い業者に巡り合うコツ・・・かもしれません。。。,滋賀,東京,午前,4,5,5,5,5,4,15,5
3,2023-09-29,荷物の扱いが荒い,4.0,【見積もり時の対応】非常に良かったのだが、結果としてここで間違った。【料金】安かろう悪かろうにならないバランスは考えた方がよかった。【作業内容】荷物の扱いが荒い、作業は特に早くない、新人の対応がこわい、トラックへの積み込みが荒い【全体的な評価】結局、荷物がだいぶ残り、自分で徹夜で手作業して処分したり運ぶ羽目になり、うんざりした【良かった点】多少はなんとか融通してくれた【気になった点】訪問見積もり時に、かなり詳しく書くなどしないと、荷物運びに失敗したら相当苦しい思いをします。,東京,東京,午前,5,5,2,4,4,6,10,3
1,2023-09-26,親切丁寧,3.75,エレベーターなしの4階からエレベーターなしの4階への引越しで、引越し距離も40kmあったため5時間かかった。引越し中は立会が必要で昼ごはんは16時にしか食べられなかったので、時間帯を考えていただきたかった。夏場ということもあり作業員の方の汗がひどく、荷物の上や床に汗がたくさん落ちていた。タオルを巻くなどして気を遣って頂けると嬉しい。,沖縄,沖縄,午前,4,4,4,3,4,4,30,5
2,2023-09-25,無駄な動きが無く、テキパキと仕事をされていました。,4.75,ハート引越センターのダンボールなどのプレゼントはものすごく助かりました。運び出しに半日ぐらいにかかるかと思ったが、2時間弱程で終わってしまったのには非常に驚かされました。また荷下ろしも丁寧で同じくらい早くあっという間に終わってしまったことにも感心いたしました。引越先への荷物のお届けに幅を持たせて貰えると助かります。また引越をする際には同じ運送会社にしようと思います。,埼玉,鹿児島,午前,5,4,5,5,6,9,0,4
0,2023-09-21,次回も利用したい,5.0,見積、作業スピード全てにおいて素晴らしかったです。スケジュールに余裕があった為こちらの予算に合うように引越し日など提案して頂き、親身にかつ柔軟な対応で大変助かりました。訪問見積をする他社もありましたが電話だけでの見積の為、契約までスムーズにいきました。家財の詳細を伝える為に10分ほど電話しますが訪問見積よりも時間を取られないと思います。搬出、搬入は無駄のない作業であっという間に作業が終わった印象です。搬出の際に衣装ケースなど業者さんが段ボールで梱包してくれるのですが迅速かつ丁寧で美しくさする感じる程でした。搬入の際は作業員の方と荷物リストを確認しながら搬入漏れが無いかチェックしながら作業を行いました。無駄のない作業で素晴らしかったです。また引っ越しするような機会があればお願いしたいです。,東京,宮城,午前,5,5,5,5,2,4,15,6
8,2023-08-30,訪問見積もりの植松さんの対応が誠実だった。,5.0,ハート引越しセンターの訪問見積もり対応は、信頼が持てた。アートも良かったが、最近暴力事件を起こしていた。サカイは、名刺も忘れて来たし、見積もった直後、大幅な値引きを提案し、契約を急いだので、信用が持てなかった。,徳島,茨城,午前,5,5,5,5,4,7,30,4
10,2023-08-30,大手ではないが信頼がおけると感じています。,3.25,【見積もり時の対応】訪問してくださった営業担当者は，ベテランの方で信頼がおけました。他の業者が見落とした物も的確にご指摘いただいたので，正確な見積もりが出ると思い，信頼できました。【料金】他の業者に比べてかなり安かったので，大変助かりました。【作業内容】積み込みは2台・4名で来てくださり，手際よく行ってくださいました。ただ残念ながら，あいさつは少なく無愛想，車の停め方もこちらからわざわざ出て行って情報をお伝えするなど，雰囲気はあまりよくありませんでした。事前の電話連絡も無愛想なもので，あまり良い気持ちではありませんでした。荷下ろしは比較的愛想のよい担当者が来てくださいました。作業も非常に手際よく行ってくださり，1時間半ほどで完了しました。残念な点としては，近隣への挨拶がなかったためか駐車に関して近所からのクレームが出ました。また破損物があったので責任者にお伝えしたところ，説明が「経年劣化によるもの」「センターに連絡しても示談で終わってしまう」など言い訳の連続で，やや不快でした。その中で，一名の若い作業員の方のさわやかさが光っていました。「すぐにできることをしますので，何でも言ってください」とおっしゃったり，破損物についても「私が言える立場ではないが，ぜひセンターに連絡して情報をお伝えください。本当に申し訳ありませんでした。」とおっしゃってくださったのは，お願いしてよかったという気持ちになりました。【全体的な評価】【良かった点】【気になった点】,三重,長野,午前,3,4,2,4,4,6,70,4
6,2023-08-30,ハート引越しセンター,4.75,訪問見積もりをしていただいたので、正確な金額やダンボールの数がわかったし、長距離引越しにしてはとても安価にしていただけました。当日の作業もテキパキと行っていただき、作業員の方もいい方たちでした。見積もりに関しては、安価にしてくださる代わりにその場で即決してその場で他社の見積もり予約をキャンセルしなくてはいけないので、他社の見積もりをある程度出してからハートさんにお願いした方がいいと思います。引越し当日の到着時間が14〜16時と言われていて、当日にも到着前に連絡があればいいなと思いました。,神奈川,千葉,午前,5,5,4,5,6,4,15,6
5,2023-08-28,とても気持ちのよい対応でした。,5.0,電話対応の方、訪問見積の方、搬出の方、搬入の方、長距離のドライバー担当の方、みなさんがとても感じがよく、大変気持ちよく引越ができました。少し雑談もさせていただきましたが、10年以上在籍というかたが複数いらして、仕事も大変手慣れていてよかったです。,東京,北海道,午前,5,5,5,5,8,4,60,5
9,2023-08-28,暑い中テキパキ動いてくださいました。,4.0,訪問見積もりの担当さんが丁寧に対応してくださり、好感が持てました。電話対応についてはなかなか繋がらなかったり折り返しに丸1日かかったりと、人手不足なのかと心配になりました。引越し作業スタッフさんはみなさんテキパキ動いてくれ、さらにこちらの体力のことも気遣ってくれたりと、安心してお任せできました。,群馬,群馬,午前,3,5,4,4,10,6,50,3
