,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
0,2023-10-23,営業の方もスタッフの方もとても真摯でした,5.0,仕事で沖縄に引っ越すことになり、軽い気持ちで引越しのことを考えていましたが、場所が場所なこともあり、船便を使用しなければいけないことでどの会社の見積もりも想定していたものより非常に高く、困惑していました。その上で引越しまでの期間も短くとても慌ただしい中での引っ越しとなりました。その中で、少しでもこちらの希望に沿えるようにと、とても真摯に対応くださり、費用もかなり頑張っていただいたので、本当に感謝しています当日のスタッフの方もとてもいい方々ばかりで、大量の荷物や家具を丁寧に梱包、運搬していただいたのでただただ頭が下がる思いです。あとは自身が沖縄に向かい、受け取りを待つばかりですが、現地のスタッフの方もきっと大丈夫だろうという確信が持てるほどに丁寧なサービスでした。本当にありがとうございます。,大阪,沖縄,午前,5,5,5,5,15,9,80,3
1,2023-10-20,早い、丁寧、ストレート,5.0,お値段以上のサービスでした。とにかく早い。見積もりも作業も何もかも早かったです。見積もりはぎりぎりの勝負のような対応で、お願いしたいと思わせるものでした。作業の方は特ににこにこしているわけではありませんが、対応が丁寧迅速、感じ良く大変好感が持てました。作業自体は全く無駄も隙もなく、素晴らしかったです。無理なお願いも、顔色一つ変えずにサクッと対応してくれました。アンケートの依頼もありましたが、率直なお話の仕方で、ぜひアンケートを投稿しようと思いました。サカイさんに頼んで良かったです。,栃木,栃木,午前,5,5,5,5,13,16,50,4
2,2023-10-17,作業員の方は感じが良かった,2.75,2トントラックはダンボールが30枚しか無料でない事を後で知った。洗濯パンの代わりにひいたマットが薄くプラスチックで5500円もして驚いた。積みのこしも家具2つあり、運んだ物のチェックがなく、残念でした。ダンボール引き取りも有料…,北海道,北海道,午前,2,3,3,3,4,7,20,9
10,2023-09-30,臨機応変に対応してくれた。,4.0,他の業者の方が最終的に安い提示はあったが、以前も利用して良かったので、サカイさんを利用させて頂いた。納得出来る安さではありました。作業員の対応は良かったが、壁に傷がついた点は残念だった。まだ解決していないので、対応が少し面倒だった。また、引越し開始時間が守られず残念だった。約束していた事前連絡のタイミングや、ダンボールの量が守られず少し不安な部分が引越し開始前からあった。しかし、当日は作業員を増やしたりと臨機応変な対応は良かった。全体的に作業員の対応は丁寧でした。,茨城,茨城,午前,4,4,4,4,7,5,15,6
9,2023-09-30,忘れ物がないよう最後は荷台確認もさせてくれた,4.75,物件決まるのが遅く、退去日が迫っており、しかもその日は大安吉日。当日引越しは難しいかとも思ったが、サカイ引越センターは、夕方が指定時間とはいえ希望日に引越しができ、なおかつ予定より早めに来ても大丈夫かという電話に、逆にこちらは大助かり。引越し先のガス業者の確認時間内に当日間に合うか否か微妙だったので、間に合って本当に助かりました。某社も有名なところだったが、営業所が市外にあるという電話対応に、大丈夫なのかというのが第一印象。そしてそちらの指定した見積もり時間を無視して、サカイ引越センターさんとのやり取りの際に来ようとしていたこと、どんな契約事項が提示されたか、電話で根掘り葉掘り聞かれ、自分のところはこういうサービスもやってますと攻勢をかけてきて、ウンザリした。某社見積もり業者の電話応対も横柄で、とても嫌な気持ちになり、結果的に見積もりはお断りして、サカイ引越センターさんに決めました。,東京,東京,午前,4,5,5,5,6,0,0,6
3,2023-09-29,安心感がある,4.25,早かったです。5人家族で車で20分ぐらいの距離での引っ越しでしたが、午前中で全ての作業が完了しました。丁寧でした。新居では荷物を運び込む前に建物内の細かな傷を確認、認識すり合わせをしてくださいました。家具の配置についてもこちらの要望を細かく聞いてくださいました。適正な価格だと思います。同じ日に他社と相見積もりでしたが、他社のトラックに空きがなく辞退されて、競合がいない状況でしたが、こちらが納得できる価格で調整してくださいました。荷造りサービスも良かったです。主婦世代の女性二人で、必要最低限の確認（運び入れる部屋など）をして、後はテキパキと荷造りしてくださいました。気になった点を強いて挙げるとすれば、スタッフさんが汗ダラダラで、荷物に汗がついたり、床に落ちたりしたことぐらいですが、これは仕方ないと思います。,千葉,千葉,午前,4,4,4,5,9,11,60,4
16,2023-09-29,パンダのマークが印象的で明るいイメージです。,4.75,初めて引越しの見積もりを出して頂きましたが、思っていた見積もりより安くすみ、悩むことなく引越し業者さんが決まり、日にちの変更にも丁寧に対応していただき、引越しの際は、重たい荷物を驚きの速さで運んで頂いた上に、丁寧に説明していただいて、安心してお任せする事ができました。,広島,広島,午前,4,5,5,5,4,1,10,5
12,2023-09-29,迅速、丁寧で感じがとても良い,5.0,今回で、サカイさんにお世話になるのは、3回目です。以前は、北海道内の引っ越しでしたが、今回は、千葉県へ転居でしたので、やはり信頼できる業者さんにお願いしたいと思っていました。急なこともあり、他社には、簡単に断られましたが、ご無理も聞いて頂けて、本当に感謝しています。作業スタッフさんのチームワークは最高です。作業後にさらに、電子レンジの設置までして頂いて大変助かりました。,北海道,千葉,午前,5,5,5,5,7,0,0,5
19,2023-09-28,親切,4.75,とても、見積もりでは、ワガママを聞いてもらえて感謝します。当日は、とても元気で親切丁寧な対応と作業で安心して任せられました。もし、次に引越しあれば、利用したいと感じた。女性の作業者の丁寧な説明で、アドバイスもらい、わかりやすかったです。,広島,広島,午前,4,5,5,5,8,4,10,5
14,2023-09-28,大手のクオリティ,4.75,テレビCMもしている大手の会社だったので、最初の電話から、見積もりに来た営業担当者の対応、当日作業の方々の対応がとても良かったです。搬入後に冷蔵庫の扉が開かなくなる（中の棚が引っかかってしまった）トラブルがありましたが、たまにある事例とのことで、落ち着いて対応いただき、壊れることなく直していただきました。大手クオリティに安心しました。,東京,東京,午前,4,5,5,5,7,4,20,10
