at,score,content
2023-11-05 03:47:28,1,マンション名、部屋番号、お客様からのメモなどの項目が表示されない場合がある。 お客様にメッセージで伺った所、「登録しています」と言われてバッドを被った。 ちなみにスリーPR案件ではないです（スリーPR案件でも表示するようにして欲しいです）
2023-11-04 21:44:23,1,Ver.4.445.10000も、6km以内はすべて300円均一バーゲンセールですか？ 納得できない報酬は、遠慮なく拒否します。 全国どこでも、お仕事できるし、仕事内容も大好きです。 サポート様も本当にきちんと対応してくださいますが、慈善事業ではないので。
2023-11-04 03:32:47,5,お客様、加盟店、サポート、配達員の皆様いつも丁寧、親切に接してくださり誠にありがとうございます。 頂きました評価、温かいお言葉、お心遣いが配達の糧や労いとなってます。
2023-11-04 00:47:49,1,店で買った方が安い
2023-11-03 12:06:41,3,お客さんの名前下にお届け先ではないマンション名とか出てるんだけど何なの？あとピンずれしてたときは直させてくんない？
2023-11-01 18:13:37,1,昨日から注文の多い場所の色付けや表示が一切無くなりました、アプリを起動して待機していると注文は入りますので表示の問題なのでしょうか？
2023-10-31 13:31:06,1,ただの奴隷製造アプリ 受け取った店、配達先で満足度を付ける人が少なすぎる。badはすぐ付くので正直付けない人はgood評価でいいのでは？私が稼働している地域では350件程配達しないと直近の評価100件が全て新しい評価にならない。単純に評価が付いたデータを新しい順に100件分取得しているだけだと思いますが、お店もお客も評価をつけなさすぎてbadがたまりやすくなっているのはどうかと思う
2023-10-31 08:44:36,1,最近、頻繁に設定がリセットされ、毎回言語の設定し直し&リクエスト時の音量が最大になり困っています。 収入源としても段々魅力が無くなっており、利用をオススメしにくいです。
2023-10-31 01:34:39,1,配達員からの評価が出来なくなっています。待たせる店、無礼な客にはバッドしたいのですが。 一方的に評価されるのは非常に不快。
2023-10-30 20:00:00,1,頻繁な写真確認ヘルメットの写真撮ったあとに 顔の写真確認撮れは意味分からん
2023-10-30 18:16:30,2,全体的に説明が分かりにくい 日本語で書いてあるが説明が足らないというか、ヘルプを参照するのも分かりにくい UBERは外国企業のせいか登録情報をアルファベットでやらされる。それは良いのだが一文字のスペルミスで情報に誤りがあります、正しい情報を入力してくださいとでて支払いが一週間も勝手に延期される どこがどう間違っているのか指摘が無いので修正するのも手間取る 2023/10/30追記 質問したいからチャットにアクセスしたいとする。だがやり方は非常に判りにくい！推測だが質問が殺到してると思われる。基本設計がややこしいからだ！疑問を感じたら自分で調べろ！とでも言いたいのかもしれない。このアプリは1億もDLされている！それだけ質問者も多いと思う。しつこいが分かりにくいからだ！使い手の配達員への配慮が足りておらぬ！改善を要求したいが期待できない
