at,score,content
2023-10-21 22:27:13,5,Great
2023-10-19 06:54:46,5,Excelente
2023-10-18 19:05:26,1,They don't pay you for some loads and they play you. I wrote this review 9/2022 it's Oct/ 2023 they still leave you high and dry. Cancel on them they give you bad score cancel on you they just tell you to figure it out. Convoy and Uber are the same company just has 2 different names don't understand why...
2023-10-17 19:12:34,3,"Support is overseas and totally useless! You can't speak with the real broker. Very disappointed. You ruined really good project by yourself. When you call the support you can hear dogs barking on the background, chickens, noise of power tool cutting metal etc. Really?"
2023-10-17 17:16:50,5,Very good!!
2023-10-16 21:08:01,5,Nice app to move freight
2023-10-16 01:17:31,1,"Uber Freight and Powerloop is trash now. They charge now for late return of the trailer and now will not allow you to use it for a back haul. Also, they will continuously hound you for status at every stop and/or during transit. And on top of that, they are slow to pay. Back to getting a factoring company and ditching Uber Freight."
2023-10-11 23:59:52,5,Very good
2023-10-08 17:08:38,4,"Rates could be better, but this is single handedly, and by far, the best app available for dispatch. You're able to see detailed location information, reviews from drivers, satellite images, and easily find more loads in areas you are going to."
2023-10-04 05:30:47,1,Horrible carrier support. Everything is done in the app. You submit a ticket in the app and they contact you. They will refuse too properly compensate for mistakes they make on their end. I recommend only booking loads with Uber Freight if you're in a pinch and there is nothing else.
2023-10-03 15:14:35,5,"Been always happy with Uber, We just hope they could work a little bit on the RATE."
2023-09-15 16:33:39,5,Good loads and rates
2023-09-14 20:24:26,1,Do not let them use you until they monopolize this industry and kill the freight market!
2023-09-07 20:42:56,5,"Best part is that it's free I pay For DAT, Truck Stop and 123 load board."
2023-08-31 04:21:43,5,Great Experience
2023-08-28 18:46:52,5,Has is ups and downs but mostly from the client part. Guess if the warehouse don't have the loads ready is nobody's fault but theirs... Thanks Uber
2023-08-24 21:11:43,5,Extremely user friendly it's a great service.
2023-08-23 14:17:41,5,Great comparative loads
2023-08-22 00:45:45,5,I like it.
