at,score,content
2023-11-05 02:19:34,5,ありがとうございます 助かりました
2023-11-04 16:21:14,5,good!
2023-11-03 02:19:55,5,すぐに近くのタクシーが来てくれるのが助かりますね。値段も普通のタクシーと変わらないかキャンペーンなどですごく安くなったりするので重宝しています。
2023-11-03 00:21:01,1,サインイン出来ない状況が連日続いてる。ヘルプして解決も翌日には同じ問題。 また不便なアプリになってきたか‥最悪。 追記。 全く、4ケタ認証コード送られてこない。２段階認証の設定してないのに、8行のバッグコード入力ってなに？ どうすれば使えるようになるのでしょう。
2023-11-01 22:36:59,5,渋滞を上手く回避してストレスがかからず、はやく目的地に着きました。
2023-10-31 05:16:46,1,"If you tolerate racism, delete Uber. Black people have the right to move without fear.との事でしたので東洋人の私は安全に移動する権利がないようなのでアンインストールしました。ブラック以外にも安全に利用できる権利が付与されましたら教えてください。"
2023-10-30 14:29:33,1,近距離乗車で頻繁に使っていたら低評価を貰う
2023-10-28 10:46:53,5,融通効かしてくれて助かりました
2023-10-26 10:29:11,5,若くて、感じの良いドライバーさんでよかったです。
2023-10-26 09:00:08,5,海外で初めて使いましたが全く問題ありませんでした！
2023-10-22 06:21:27,1,肝心な時に全く役に立たない、全然タクシーが見つからないなら最初から選ばせないでほしい。
2023-10-21 23:48:18,4,インボイス制度対応の領収書発行お願いします_(._.)_
2023-10-21 00:42:10,2,乗車の自宅前の場所が違った 始めは料金少しサービスだったのでは？
2023-10-17 12:20:02,5,良いおじはんばっかり！！
2023-10-17 00:01:17,5,場所にもよるかもしれませんが、配車が早いですね！
2023-10-16 21:35:36,5,始めてのUber を試しました デスラーに乗せて頂き、また、運転手さんが元日本人でとても快適に利用できました アプリの使い方もとても解りやすく還暦を過ぎている私でも使い乗せました
2023-10-16 08:46:00,5,良い！
2023-10-11 07:42:59,5,使いやすいです！
2023-10-10 17:42:55,5,アプリも使いやすいしキャンペーンが良くあるのでこれからも使います～
2023-10-10 15:33:57,1,チップを任意の金額で入れようとしても入れられない
2023-10-10 09:14:35,1,色々と書き込んでいるが、まるっきりスルー!?　☆無しにしたい ちっともドライバーが確定されずにいる。 9/6システム改修なら通知して欲しい。事業所も突然の通知で、事業所も利用できず困惑だったとのこと。利用者も困惑します。投稿しても無視なら、その程度のUber 10/10 昨日早朝、あと1分で迎えに…のところ、突然目の前の交差点を右折していった。画面が直ぐ様運転手を探し出して固まった。到着迄更に10分前後する表示。直ぐ側の別のタクシー会社に車があったから助かったけれど。用があるから手配しているんです!! おまけにバッテリーの減りが早い＆端末がやけに熱くなる
2023-10-09 19:37:44,5,韓国で使いました。カカオタクシーは認証がうまく行かず、結局使えませんでした。 車の数も多くすぐに来ました。
2023-10-09 18:40:38,4,カイロ国際空港から50キロ位離れたクフ王のピラミッドそばのホテルまで安全にUberタクシーでたどり着けました。 ただ、呼ぶ時の自分の位置についてはとても苦労しました。 国際空港等知名度の高い場所の場合、地図上で呼ぶ位置をサポートしてくれる機能があると助かるのですが！
2023-10-08 14:39:29,5,明瞭会計、親切
2023-10-07 10:11:15,5,初めて、ナント、フランスで、使用しました。便利ですね。現金で払いました。
2023-10-06 07:22:23,2,配車時刻の表示の信頼度が低い。 適当な時刻が表示されて、その時刻には配車されず延々延長して待たされる。 急いでいて困っているときにはまったくあてにならず、急いでいないときにはこのアプリを使う必要はないので、役にはたたないです。
2023-10-02 19:24:40,5,とても便利です。
2023-10-02 05:24:20,5,たすかりました。またお願いします。
2023-10-01 14:46:46,4,タクシー乗り場にタクシーがいないのでUberに連絡したら6分位で到着して下さいました。助かります。またお願いします。
2023-09-29 09:46:23,5,便利。素人が来るのかと気になっていたが来たのはタクシー。メーターを切って来てくれました。
2023-09-26 09:01:49,4,以前別の配車サービスであからさまな遠回り、汚い臭い車内のドライバーにあたったが、こちらは事前に料金目安が分かるので安心です。
